,img_id,img_path,num_user,mean,median,var,vote1,vote2,vote3,vote4,vote5
389,385,PILOT/GSV_PILOT_432_1.jpg,5,3.8,4,0.15999999999999998,0,0,1,4,0
390,386,PILOT/GSV_PILOT_432_2.jpg,5,3.6,4,0.24,0,0,2,3,0
391,387,PILOT/GSV_PILOT_432_3.jpg,5,2.8,3,0.5599999999999999,0,2,2,1,0
392,388,PILOT/GSV_PILOT_432_4.jpg,5,2.8,3,0.15999999999999998,0,1,4,0,0
393,389,PILOT/GSV_PILOT_434_1.jpg,5,3.4,4,0.64,0,1,1,3,0
394,390,PILOT/GSV_PILOT_434_2.jpg,5,2.8,3,0.5599999999999999,0,2,2,1,0
395,391,PILOT/GSV_PILOT_434_3.jpg,5,3.2,3,0.15999999999999998,0,0,4,1,0
396,392,PILOT/GSV_PILOT_434_4.jpg,5,2.8,3,0.96,1,0,3,1,0
397,393,PILOT/GSV_PILOT_436_1.jpg,5,2.6,3,0.24,0,2,3,0,0
398,394,PILOT/GSV_PILOT_436_2.jpg,5,3.0,3,0.4,0,1,3,1,0
399,395,PILOT/GSV_PILOT_436_3.jpg,5,4.0,4,0.0,0,0,0,5,0
400,396,PILOT/GSV_PILOT_436_4.jpg,5,3.2,3,0.15999999999999998,0,0,4,1,0
401,397,PILOT/GSV_PILOT_437_1.jpg,5,4.2,4,0.15999999999999998,0,0,0,4,1
402,398,PILOT/GSV_PILOT_437_2.jpg,5,4.0,4,0.4,0,0,1,3,1
403,399,PILOT/GSV_PILOT_437_3.jpg,5,4.0,4,0.0,0,0,0,5,0
404,400,PILOT/GSV_PILOT_437_4.jpg,5,3.6,4,0.24,0,0,2,3,0
405,401,PILOT/GSV_PILOT_438_1.jpg,5,3.2,3,0.5599999999999999,0,1,2,2,0
406,402,PILOT/GSV_PILOT_438_2.jpg,5,3.2,3,1.7600000000000002,1,0,2,1,1
407,403,PILOT/GSV_PILOT_438_3.jpg,5,2.8,3,0.96,1,0,3,1,0
408,404,PILOT/GSV_PILOT_438_4.jpg,5,2.2,2,1.3599999999999999,2,1,1,1,0
409,405,PILOT/GSV_PILOT_439_1.jpg,5,2.8,3,0.15999999999999998,0,1,4,0,0
410,406,PILOT/GSV_PILOT_439_2.jpg,5,2.8,3,0.15999999999999998,0,1,4,0,0
411,407,PILOT/GSV_PILOT_439_3.jpg,5,2.2,2,0.5599999999999999,1,2,2,0,0
412,408,PILOT/GSV_PILOT_439_4.jpg,5,3.0,3,1.2,0,2,2,0,1
413,409,PILOT/GSV_PILOT_443_1.jpg,5,4.2,4,0.15999999999999998,0,0,0,4,1
414,410,PILOT/GSV_PILOT_443_2.jpg,5,4.2,4,0.15999999999999998,0,0,0,4,1
415,411,PILOT/GSV_PILOT_443_3.jpg,5,2.8,3,1.3599999999999999,1,1,1,2,0
416,412,PILOT/GSV_PILOT_443_4.jpg,5,3.2,3,0.5599999999999999,0,1,2,2,0
417,413,PILOT/GSV_PILOT_444_1.jpg,5,3.4,4,0.64,0,1,1,3,0
418,414,PILOT/GSV_PILOT_444_2.jpg,5,2.8,3,1.3599999999999999,1,1,1,2,0
419,415,PILOT/GSV_PILOT_444_3.jpg,5,2.2,2,1.3599999999999999,2,1,1,1,0
420,416,PILOT/GSV_PILOT_444_4.jpg,5,2.6,3,1.0400000000000003,1,1,2,1,0
421,417,PILOT/GSV_PILOT_448_1.jpg,5,2.8,3,1.3599999999999999,1,1,1,2,0
422,418,PILOT/GSV_PILOT_448_2.jpg,5,2.0,2,1.2,2,2,0,1,0
423,419,PILOT/GSV_PILOT_448_3.jpg,5,2.6,3,0.24,0,2,3,0,0
424,420,PILOT/GSV_PILOT_448_4.jpg,5,3.6,4,0.64,0,1,0,4,0
425,421,PILOT/GSV_PILOT_449_1.jpg,5,3.8,4,0.5599999999999999,0,0,2,2,1
426,422,PILOT/GSV_PILOT_449_2.jpg,5,3.6,4,1.0400000000000003,0,1,1,2,1
427,423,PILOT/GSV_PILOT_449_3.jpg,5,2.8,3,1.3599999999999999,1,1,1,2,0
428,424,PILOT/GSV_PILOT_449_4.jpg,5,4.0,4,1.2,0,1,0,2,2
