,img_id,num_user,attractiveness,familiarity,uniqueness,friendliness,pleasure,arousal,dominance
368,364,5,3,1,2,1,0.4177777777777778,-0.7103377709283409,0.3716666666666667
369,365,5,4,0,4,1,0.8,0.642065054857835,0.3400000000000001
370,366,5,4,0,3,1,0.7422222222222222,-0.0014582879001673378,0.07388888888888888
371,367,5,3,0,3,1,0.2533333333333333,-0.6360591193827462,0.34944444444444445
372,368,5,4,0,4,1,0.6622222222222224,0.07253562514622516,0.08722222222222224
373,369,5,4,0,3,1,0.7111111111111112,-0.1640145085778471,0.2783333333333333
374,370,5,3,0,3,1,0.5555555555555556,-0.4793970389451608,0.01611111111111113
375,371,5,3,1,3,1,0.35111111111111115,-0.7613868244972753,0.25166666666666665
376,372,5,3,1,2,1,0.2711111111111111,-0.7229101452734573,0.04722222222222218
377,373,5,2,1,2,1,0.12888888888888886,-0.9029703734109195,0.16277777777777774
378,374,5,1,0,2,0,-0.44000000000000006,-0.17609739387019707,0.2827777777777778
379,375,5,1,0,3,0,-0.3466666666666667,-0.43682035731989644,0.025
380,376,5,2,0,2,0,-0.27111111111111114,-0.8094855719643725,-0.032777777777777795
381,377,5,2,0,2,0,-0.25777777777777783,-0.7705287922150129,-0.06388888888888888
382,378,5,2,0,3,0,-0.08888888888888888,-0.5690676907664363,-0.04611111111111109
383,379,5,2,0,3,0,-0.31111111111111106,-0.777565610319674,-0.03722222222222226
384,380,5,2,1,2,0,-0.25777777777777783,-0.6552609131733714,0.08722222222222226
385,381,5,2,0,4,0,-0.04888888888888894,-0.3305836562643311,-0.28611111111111115
386,382,5,2,0,3,0,-0.2,-0.8420438733444678,0.12722222222222224
387,383,5,2,0,3,0,-0.39111111111111113,-0.8096523089520467,0.02944444444444444
388,384,5,2,0,3,0,-0.13333333333333333,-0.885279579299052,-0.08166666666666667
389,385,5,4,0,4,1,0.5688888888888889,-0.3253833065235977,0.513888888888889
390,386,5,4,0,3,1,0.6622222222222222,-0.16925982243434465,0.25611111111111123
391,387,5,3,1,2,1,0.3777777777777778,-0.6126462511213777,0.2516666666666667
392,388,5,3,1,2,1,0.32,-0.9219117821378392,0.24722222222222218
393,389,5,4,0,3,1,0.7288888888888889,0.055822967085097285,0.18499999999999997
394,390,5,3,1,2,1,0.35999999999999993,-0.9383141500716791,0.21611111111111114
395,391,5,3,1,2,1,0.32888888888888895,-0.3936576011024103,0.4561111111111111
396,392,5,3,0,3,1,0.2711111111111112,-0.621526666218514,0.04277777777777778
397,393,5,3,1,2,1,0.07111111111111115,-0.9847084066337539,0.09166666666666665
398,394,5,3,1,3,1,0.52,-0.45115893839715915,0.3316666666666668
399,395,5,4,1,3,1,0.8266666666666668,0.29684854727526006,0.44722222222222224
400,396,5,3,1,3,1,0.31111111111111117,-0.8866713449631103,0.12277777777777779
401,397,5,4,1,3,1,0.768888888888889,0.14117864716271372,0.020000000000000018
402,398,5,4,1,4,1,0.8133333333333335,0.26890855513460676,-0.037777777777777743
403,399,5,4,0,3,1,0.7955555555555557,0.23620866237928606,0.18055555555555558
404,400,5,4,1,3,1,0.7066666666666667,-0.04684368868887501,0.21166666666666661
405,401,5,3,0,3,1,0.441777615017361,-0.41311995567944654,0.27344455295138886
406,402,5,3,0,3,1,0.4639998372395834,-0.4396666248029003,0.3534445529513889
407,403,5,3,1,2,1,0.34844428168402786,-0.35899413951542647,0.2690001085069444
408,404,5,2,1,1,1,0.25955539279513895,-0.30136534349956834,0.10900010850694437
409,405,5,3,0,2,1,0.29066650390625,-0.5339288234209424,0.1445556640625
410,406,5,3,1,3,1,0.3306665039062501,-0.8361435464969859,0.22011121961805555
411,407,5,2,1,2,1,0.14844428168402776,-0.7908497424102094,0.36677788628472224
412,408,5,3,1,2,1,0.31288872612847224,-0.2170527416522698,0.3623334418402778
413,409,5,4,0,4,1,0.6773331705729169,0.5088915367605638,0.6373334418402778
414,410,5,4,1,4,1,0.5395553927951389,-0.19365160672762366,0.5445556640625
415,411,5,3,0,2,1,0.4328887261284723,-0.04159621857124081,0.17566677517361115
416,412,5,3,0,3,1,0.4951109483506945,-0.2553526118026135,0.30900010850694454
