id,user_id,part,loc_id,img_id,attractiveness,familiarity,uniqueness,friendliness,pleasure,arousal,dominance,golden_answer,start_time,end_time
850,15,1,,121,4,yes,4,yes,0.6222222222222223,-0.6632450220927011,0.3583333333333334,,2017-03-27 11:33:50.000000,2017-03-27 11:34:49.000000
851,16,1,,159,4,no,5,no,0.7444444444444445,-0.11202853986693084,0.42500000000000004,,2017-03-27 11:34:08.000000,2017-03-27 11:35:06.000000
852,14,1,,98,4,yes,3,yes,0.5666666666666667,-0.7194273621424856,0.6027777777777779,,2017-03-27 11:34:03.000000,2017-03-27 11:35:14.000000
853,15,1,,109,3,no,3,yes,0.13333333333333322,-0.9935372506500277,0.24722222222222218,,2017-03-27 11:34:11.000000,2017-03-27 11:35:20.000000
854,16,1,,99,5,yes,4,yes,0.8111111111111112,0.26843125986394867,0.6027777777777779,,2017-03-27 11:34:27.000000,2017-03-27 11:35:20.000000
855,14,1,,106,4,yes,3,yes,0.8111111111111112,0.26843125986394867,-0.5527777777777779,,2017-03-27 11:34:36.000000,2017-03-27 11:35:38.000000
856,15,1,,160,4,no,4,yes,0.688888888888889,-0.40253883290642956,0.38055555555555554,,2017-03-27 11:34:42.000000,2017-03-27 11:35:38.000000
857,16,1,,97,4,yes,2,yes,0.5444444444444446,-0.8423258860356001,0.4694444444444445,,2017-03-27 11:34:43.000000,2017-03-27 11:35:42.000000
858,16,1,,87,1,yes,1,no,0.1888888888888889,-0.9901034022080508,-0.2861111111111112,,2017-03-27 11:35:03.000000,2017-03-27 11:35:56.000000
859,14,1,,105,3,yes,3,yes,0.4777777777777777,-0.9211932320787811,0.06944444444444448,,2017-03-27 11:35:01.000000,2017-03-27 11:36:02.000000
860,16,1,,149,2,yes,2,no,0.12222222222222229,-0.5982964844519537,-0.6416666666666666,,2017-03-27 11:35:18.000000,2017-03-27 11:36:10.000000
