,img_id,rank,scene,score
245,50,1,'fire_station',0.153483480215
246,50,2,'office_building',0.111633181572
247,50,3,'building_facade',0.0848331153393
248,50,4,'hospital',0.0820578709245
249,50,5,'apartment_building',0.0691992640495
250,51,1,'hospital',0.105389364064
251,51,2,'office_building',0.103354990482
252,51,3,'building_facade',0.0942566841841
253,51,4,'highway',0.0857451558113
254,51,5,'fire_station',0.071437433362
255,52,1,'apartment_building',0.536730051041
256,52,2,'residential_neighborhood',0.165320947766
257,52,3,'office_building',0.0763378888369
258,52,4,'hospital',0.0761239230633
259,52,5,'building_facade',0.0570359416306
260,53,1,'parking_lot',0.173562854528
261,53,2,'hospital',0.166018307209
262,53,3,'office_building',0.146332740784
263,53,4,'building_facade',0.10070259124
264,53,5,'driveway',0.0445739030838
265,54,1,'highway',0.789104282856
266,54,2,'parking_lot',0.049370855093
267,54,3,'forest_road',0.042787913233
268,54,4,'residential_neighborhood',0.0382088981569
269,54,5,'railroad_track',0.0111333867535
270,55,1,'parking_lot',0.874573945999
271,55,2,'highway',0.0764199346304
272,55,3,'residential_neighborhood',0.0142641048878
273,55,4,'motel',0.0127101419494
274,55,5,'driveway',0.00541340839118
275,56,1,'highway',0.260009348392
276,56,2,'residential_neighborhood',0.228031843901
277,56,3,'crosswalk',0.0588488131762
278,56,4,'restaurant_patio',0.055993527174
279,56,5,'veranda',0.0349481143057
280,57,1,'parking_lot',0.341183304787
281,57,2,'residential_neighborhood',0.231828227639
282,57,3,'crosswalk',0.216887921095
283,57,4,'highway',0.114905565977
284,57,5,'plaza',0.0197229683399
285,58,1,'parking_lot',0.542327046394
286,58,2,'driveway',0.209227919579
287,58,3,'residential_neighborhood',0.166913688183
288,58,4,'motel',0.0175359137356
289,58,5,'highway',0.0162616036832
290,59,1,'residential_neighborhood',0.263963788748
291,59,2,'parking_lot',0.115722224116
292,59,3,'alley',0.105520233512
293,59,4,'apartment_building',0.0683209523559
294,59,5,'driveway',0.0571465529501
295,60,1,'crosswalk',0.586577296257
296,60,2,'parking_lot',0.183618500829
297,60,3,'runway',0.0461542233825
298,60,4,'highway',0.0413138456643
299,60,5,'gas_station',0.0247374661267
300,61,1,'residential_neighborhood',0.179443791509
301,61,2,'driveway',0.107274033129
302,61,3,'mansion',0.0544192381203
303,61,4,'river',0.0497497096658
304,61,5,'yard',0.0380438119173
305,62,1,'chalet',0.289637595415
306,62,2,'cottage_garden',0.113393425941
307,62,3,'yard',0.111790657043
308,62,4,'shed',0.0791740939021
309,62,5,'pond',0.0575271174312
310,63,1,'forest_road',0.339533567429
311,63,2,'highway',0.150113135576
312,63,3,'tree_farm',0.0741909742355
313,63,4,'driveway',0.0650326833129
314,63,5,'river',0.0427898727357
315,64,1,'dock',0.481176674366
316,64,2,'pond',0.196404248476
317,64,3,'marsh',0.0530941709876
318,64,4,'watering_hole',0.0427929833531
319,64,5,'river',0.0331030078232
320,65,1,'residential_neighborhood',0.248412325978
321,65,2,'apartment_building',0.166157796979
322,65,3,'crosswalk',0.12396517396
323,65,4,'parking_lot',0.0640988051891
324,65,5,'office_building',0.0629387721419
325,66,1,'parking_lot',0.256884872913
326,66,2,'residential_neighborhood',0.188943967223
327,66,3,'motel',0.124312661588
328,66,4,'apartment_building',0.0844531580806
329,66,5,'crosswalk',0.0573184341192
330,67,1,'parking_lot',0.181929081678
331,67,2,'hospital',0.152488693595
332,67,3,'plaza',0.112965941429
333,67,4,'office_building',0.0581658035517
334,67,5,'residential_neighborhood',0.0500790961087
335,68,1,'driveway',0.14795820415
336,68,2,'motel',0.118658781052
337,68,3,'inn',0.117980957031
338,68,4,'courtyard',0.0789075046778
339,68,5,'yard',0.0744857341051
340,69,1,'hospital',0.20288656652
341,69,2,'apartment_building',0.181182965636
342,69,3,'building_facade',0.126659199595
