id,user_id,part,loc_id,img_id,attractiveness,familiarity,uniqueness,friendliness,pleasure,arousal,dominance,golden_answer,start_time,end_time
339,8,1,,79,4,yes,4,yes,0.9111111111111112,0.7238175102044266,0.42500000000000004,,2017-03-16 16:35:05.000000,2017-03-16 16:34:11.000000
340,10,1,,10,2,yes,2,yes,-0.4037041558159723,-0.9643651623625202,-0.23425903320312513,,2017-03-16 15:33:32.000000,2017-03-16 16:34:18.000000
341,9,1,,30,3,no,3,yes,-0.02592637803819448,-0.11724301526959235,0.743518744574653,,2017-03-16 16:33:22.000000,2017-03-16 16:34:22.000000
342,7,1,,5,2,no,4,no,-0.8066663953993056,0.5994366676297924,0.8783338758680556,,2017-03-16 16:33:29.000000,2017-03-16 16:34:26.000000
343,8,1,,47,2,yes,2,yes,0.2000000000000001,-0.9551596320618567,0.42500000000000004,,2017-03-16 16:35:22.000000,2017-03-16 16:34:29.000000
344,9,1,,40,3,no,2,yes,0.507406955295139,-0.8923845755080044,-0.03425835503472217,,2017-03-16 16:33:51.000000,2017-03-16 16:34:42.000000
345,10,0,,10002,2,no,2,yes,-0.07777777777777779,-0.9139378725841905,-0.48611111111111105,,2017-03-16 15:33:49.000000,2017-03-16 16:34:43.000000
346,8,1,,51,3,yes,3,yes,0.5111111111111113,-0.888147525117454,0.2027777777777778,,2017-03-16 16:35:40.000000,2017-03-16 16:34:46.000000
347,7,1,,52,4,no,4,yes,1,1,-0.01055501302083326,,2017-03-16 16:33:56.000000,2017-03-16 16:34:52.000000
348,9,1,,16,1,yes,1,no,-0.7370374891493057,-0.15350146699507694,-0.14537014431423614,,2017-03-16 16:34:11.000000,2017-03-16 16:35:03.000000
349,8,1,,30,2,yes,2,no,-0.5555555555555555,-0.823549793585745,-0.10833333333333324,,2017-03-16 16:35:57.000000,2017-03-16 16:35:04.000000
350,7,1,,41,2,yes,1,yes,-1,0.9876175013582935,1,,2017-03-16 16:34:22.000000,2017-03-16 16:35:19.000000
351,10,1,,45,1,no,2,yes,-0.3592597113715278,-0.9780005324024306,-0.3231472439236112,,2017-03-16 15:34:16.000000,2017-03-16 16:35:20.000000
352,8,1,,54,2,yes,2,no,0.04444444444444449,-0.9894828714581883,0.2916666666666667,,2017-03-16 16:36:16.000000,2017-03-16 16:35:28.000000
353,9,1,,56,2,yes,1,no,0.06296251085069438,0.2735403691863605,-0.8120368109809027,,2017-03-16 16:34:33.000000,2017-03-16 16:35:29.000000
354,7,1,,15,2,yes,1,yes,-0.0066663953993055585,-0.9989890568158002,0.0783338758680556,,2017-03-16 16:34:48.000000,2017-03-16 16:35:37.000000
355,8,1,,61,3,yes,3,yes,0.3777777777777778,-0.9730939016750291,0.18055555555555558,,2017-03-16 16:36:39.000000,2017-03-16 16:35:44.000000
356,10,1,,4,2,no,2,no,-0.27037082248263894,-0.9916705504013428,-0.16759168836805563,,2017-03-16 15:34:51.000000,2017-03-16 16:35:56.000000
357,9,0,,10001,5,no,4,yes,1,1,1,a111,2017-03-16 16:34:58.000000,2017-03-16 16:36:04.000000
358,7,0,,10005,5,no,5,yes,1,1,1,a010,2017-03-16 16:35:07.000000,2017-03-16 16:36:04.000000
359,8,0,,10004,4,yes,4,yes,0.8222222222222222,0.32897597368471687,0.6694444444444445,a110,2017-03-16 16:36:55.000000,2017-03-16 16:36:06.000000
360,7,1,,62,4,no,4,yes,0.9711113823784723,1,1,,2017-03-16 16:35:34.000000,2017-03-16 16:36:20.000000
361,8,1,,19,4,no,3,yes,0.9111111111111112,0.7238175102044266,0.5805555555555556,,2017-03-16 16:37:18.000000,2017-03-16 16:36:20.000000
362,9,1,,44,1,yes,1,no,-0.6925930447048613,-0.38496900247405397,-0.41203681098090283,,2017-03-16 16:35:33.000000,2017-03-16 16:36:25.000000
363,10,1,,31,4,no,2,yes,0.3962958441840277,-0.7567294071240129,0.5879638671874999,,2017-03-16 15:35:27.000000,2017-03-16 16:36:37.000000
364,8,1,,60,2,no,1,no,0.022222222222222122,-0.9991375174730054,-0.063888888888889,,2017-03-16 16:37:32.000000,2017-03-16 16:36:39.000000
365,9,1,,66,1,no,2,no,0.06296251085069438,-0.8756725937203103,0.5212958441840279,,2017-03-16 16:35:54.000000,2017-03-16 16:36:47.000000
366,7,1,,7,2,no,2,no,-1,1,0.12277832031249997,,2017-03-16 16:35:51.000000,2017-03-16 16:36:49.000000
367,8,1,,17,4,no,2,yes,0.8888888888888891,0.6423496619925195,0.33611111111111114,,2017-03-16 16:37:50.000000,2017-03-16 16:36:52.000000
368,7,1,,46,2,yes,1,yes,-0.0066663953993055585,-0.9944165100289604,0.23388943142361118,,2017-03-16 16:36:19.000000,2017-03-16 16:37:04.000000
369,8,1,,68,3,no,2,yes,0.2000000000000001,-0.9829057624523566,0.33611111111111114,,2017-03-16 16:38:04.000000,2017-03-16 16:37:07.000000
370,10,1,,43,2,yes,2,yes,-0.3592597113715278,-0.9780005324024306,-0.12314724392361115,,2017-03-16 15:36:08.000000,2017-03-16 16:37:07.000000
